Scorecard,Team 1,Team 2,Ground,Winner,Host,Day,Month,Year,WinInn
ODI # 758,Sri Lanka,Australia,Colombo,Sri Lanka,Sri Lanka,15,Aug,1992,2
ODI # 759,England,Pakistan,Nottingham,England,England,20,Aug,1992,1
ODI # 760,England,Pakistan,Lord's,Pakistan,England,22,Aug,1992,1
ODI # 761,England,Pakistan,Manchester,England,England,24,Aug,1992,2
ODI # 762,Sri Lanka,Australia,Colombo,Sri Lanka,Sri Lanka,4,Sep,1992,2
ODI # 763,Sri Lanka,Australia,Colombo,Australia,Sri Lanka,5,Sep,1992,2
ODI # 764,Zimbabwe,India,Harare,India,Zimbabwe,25,Oct,1992,1
ODI # 765,Zimbabwe,New Zealand,Bulawayo,New Zealand,Zimbabwe,31,Oct,1992,1
ODI # 766,Zimbabwe,New Zealand,Harare,New Zealand,Zimbabwe,8,Nov,1992,2
ODI # 767,Pakistan,West Indies,Perth,Pakistan,Australia,4,Dec,1992,2
ODI # 769,Australia,West Indies,Perth,West Indies,Australia,6,Dec,1992,2
ODI # 770,South Africa,India,Cape Town,South Africa,South Africa,7,Dec,1992,2
ODI # 771,Australia,West Indies,Sydney,Australia,Australia,8,Dec,1992,1
ODI # 772,South Africa,India,Port Elizabeth,South Africa,South Africa,9,Dec,1992,2
ODI # 774,South Africa,India,Centurion,India,South Africa,11,Dec,1992,2
ODI # 775,Pakistan,West Indies,Adelaide,West Indies,Australia,12,Dec,1992,1
ODI # 776,Sri Lanka,New Zealand,Colombo,Sri Lanka,Sri Lanka,12,Dec,1992,2
ODI # 777,Australia,Pakistan,Adelaide,Australia,Australia,13,Dec,1992,2
ODI # 778,Sri Lanka,New Zealand,Colombo,Sri Lanka,Sri Lanka,13,Dec,1992,1
ODI # 779,South Africa,India,Johannesburg,South Africa,South Africa,13,Dec,1992,2
ODI # 780,Australia,West Indies,Melbourne,Australia,Australia,15,Dec,1992,1
ODI # 781,South Africa,India,Bloemfontein,South Africa,South Africa,15,Dec,1992,2
ODI # 782,Pakistan,West Indies,Sydney,West Indies,Australia,17,Dec,1992,1
ODI # 783,South Africa,India,Durban,South Africa,South Africa,17,Dec,1992,1
ODI # 784,South Africa,India,East London,India,South Africa,19,Dec,1992,2
ODI # 785,New Zealand,Pakistan,Wellington,Pakistan,New Zealand,26,Dec,1992,1
ODI # 786,New Zealand,Pakistan,Napier,New Zealand,New Zealand,28,Dec,1992,2
ODI # 787,New Zealand,Pakistan,Auckland,New Zealand,New Zealand,30,Dec,1992,2
ODI # 788,Pakistan,West Indies,Brisbane,West Indies,Australia,9,Jan,1993,2
ODI # 789,Australia,West Indies,Brisbane,West Indies,Australia,10,Jan,1993,1
ODI # 790,Australia,Pakistan,Melbourne,Australia,Australia,12,Jan,1993,1
ODI # 791,Australia,Pakistan,Sydney,Australia,Australia,14,Jan,1993,1
ODI # 792,Australia,West Indies,Sydney,West Indies,Australia,16,Jan,1993,1
ODI # 793,Australia,West Indies,Melbourne,West Indies,Australia,18,Jan,1993,2
ODI # 794,India,England,Jaipur,England,India,18,Jan,1993,2
ODI # 795,India,England,Chandigarh,India,India,21,Jan,1993,2
ODI # 796,Pakistan,Zimbabwe,Sharjah,Pakistan,U.A.E.,1,Feb,1993,1
ODI # 797,Pakistan,Sri Lanka,Sharjah,Pakistan,U.A.E.,2,Feb,1993,2
ODI # 798,Sri Lanka,Zimbabwe,Sharjah,Sri Lanka,U.A.E.,3,Feb,1993,1
ODI # 799,Pakistan,Sri Lanka,Sharjah,Pakistan,U.A.E.,4,Feb,1993,1
ODI # 800,South Africa,Pakistan,Durban,Pakistan,South Africa,9,Feb,1993,1
ODI # 801,South Africa,West Indies,Port Elizabeth,South Africa,South Africa,11,Feb,1993,2
ODI # 802,Pakistan,West Indies,Johannesburg,West Indies,South Africa,13,Feb,1993,2
ODI # 803,South Africa,Pakistan,East London,Pakistan,South Africa,15,Feb,1993,1
ODI # 804,South Africa,West Indies,Cape Town,South Africa,South Africa,17,Feb,1993,1
ODI # 805,Pakistan,West Indies,Durban,West Indies,South Africa,19,Feb,1993,1
ODI # 806,South Africa,Pakistan,Centurion,Pakistan,South Africa,21,Feb,1993,1
ODI # 807,South Africa,West Indies,Bloemfontein,West Indies,South Africa,23,Feb,1993,2
ODI # 808,Pakistan,West Indies,Cape Town,West Indies,South Africa,25,Feb,1993,2
ODI # 809,India,England,Bengaluru,England,India,26,Feb,1993,1
ODI # 810,Pakistan,West Indies,Johannesburg,West Indies,South Africa,27,Feb,1993,2
ODI # 811,India,England,Jamshedpur,England,India,1,Mar,1993,2
ODI # 812,Zimbabwe,Pakistan,Harare,Pakistan,Zimbabwe,2,Mar,1993,2
ODI # 813,India,England,Gwalior,India,India,4,Mar,1993,2
ODI # 814,India,England,Gwalior,India,India,5,Mar,1993,2
ODI # 815,Sri Lanka,England,Colombo,Sri Lanka,Sri Lanka,10,Mar,1993,1
ODI # 816,New Zealand,Australia,Dunedin,Australia,New Zealand,19,Mar,1993,1
ODI # 817,India,Zimbabwe,Faridabad,India,India,19,Mar,1993,1
ODI # 818,Sri Lanka,England,Moratuwa,Sri Lanka,Sri Lanka,20,Mar,1993,2
ODI # 819,New Zealand,Australia,Christchurch,Australia,New Zealand,21-22,Mar,1993,2
ODI # 820,India,Zimbabwe,Guwahati,India,India,22,Mar,1993,2
ODI # 821,West Indies,Pakistan,Kingston,West Indies,West Indies,23,Mar,1993,2
ODI # 822,New Zealand,Australia,Wellington,New Zealand,New Zealand,24,Mar,1993,1
ODI # 823,India,Zimbabwe,Pune,India,India,25,Mar,1993,2
ODI # 824,West Indies,Pakistan,Port of Spain,West Indies,West Indies,26,Mar,1993,2
ODI # 825,New Zealand,Australia,Hamilton,New Zealand,New Zealand,27,Mar,1993,2
ODI # 826,West Indies,Pakistan,Port of Spain,Pakistan,West Indies,27,Mar,1993,2
ODI # 827,New Zealand,Australia,Auckland,Australia,New Zealand,28,Mar,1993,1
ODI # 828,West Indies,Pakistan,Kingstown,Pakistan,West Indies,30,Mar,1993,1
ODI # 830,England,Australia,Manchester,Australia,England,19,May,1993,1
ODI # 831,England,Australia,Birmingham,Australia,England,21,May,1993,2
ODI # 832,England,Australia,Lord's,Australia,England,23,May,1993,1
ODI # 833,Sri Lanka,India,Colombo,India,Sri Lanka,25,Jul,1993,1
ODI # 834,Sri Lanka,India,Colombo,Sri Lanka,Sri Lanka,12,Aug,1993,1
ODI # 835,Sri Lanka,India,Moratuwa,Sri Lanka,Sri Lanka,14,Aug,1993,2
ODI # 837,Sri Lanka,South Africa,Colombo,South Africa,Sri Lanka,2,Sep,1993,1
ODI # 838,Sri Lanka,South Africa,Colombo,Sri Lanka,Sri Lanka,4,Sep,1993,1
ODI # 839,Sri Lanka,West Indies,Sharjah,West Indies,U.A.E.,28,Oct,1993,2
ODI # 840,Pakistan,West Indies,Sharjah,West Indies,U.A.E.,29,Oct,1993,1
ODI # 841,Pakistan,Sri Lanka,Sharjah,Pakistan,U.A.E.,30,Oct,1993,1
ODI # 842,Pakistan,West Indies,Sharjah,Pakistan,U.A.E.,1,Nov,1993,2
ODI # 843,Pakistan,Sri Lanka,Sharjah,Pakistan,U.A.E.,2,Nov,1993,2
ODI # 844,Sri Lanka,West Indies,Sharjah,West Indies,U.A.E.,3,Nov,1993,2
ODI # 845,Pakistan,West Indies,Sharjah,West Indies,U.A.E.,5,Nov,1993,2
ODI # 846,India,Sri Lanka,Kanpur,India,India,7,Nov,1993,2
ODI # 847,Sri Lanka,West Indies,Mumbai,West Indies,India,9,Nov,1993,1
ODI # 849,South Africa,West Indies,Mumbai,South Africa,India,14,Nov,1993,1
ODI # 850,Sri Lanka,Zimbabwe,Patna,Sri Lanka,India,15,Nov,1993,1
ODI # 851,India,West Indies,Ahmedabad,West Indies,India,16,Nov,1993,1
ODI # 853,South Africa,Sri Lanka,Guwahati,South Africa,India,19,Nov,1993,1
ODI # 854,West Indies,Zimbabwe,Hyderabad,West Indies,India,21,Nov,1993,1
ODI # 855,India,South Africa,Mohali,India,,22,Nov,1993,1
ODI # 856,India,South Africa,Kolkata,India,India,24,Nov,1993,1
ODI # 857,Sri Lanka,West Indies,Kolkata,West Indies,India,25,Nov,1993,2
ODI # 858,India,West Indies,Kolkata,India,India,27,Nov,1993,1
ODI # 860,Australia,South Africa,Melbourne,South Africa,Australia,9,Dec,1993,2
ODI # 861,Australia,New Zealand,Adelaide,Australia,Australia,12,Dec,1993,2
ODI # 862,Australia,South Africa,Sydney,Australia,Australia,14,Dec,1993,1
ODI # 863,Australia,New Zealand,Melbourne,Australia,Australia,16,Dec,1993,1
ODI # 864,Sri Lanka,West Indies,Colombo,Sri Lanka,Sri Lanka,16,Dec,1993,2
ODI # 865,New Zealand,South Africa,Hobart,New Zealand,Australia,18,Dec,1993,2
ODI # 866,Sri Lanka,West Indies,Colombo,West Indies,Sri Lanka,18,Dec,1993,2
ODI # 867,Pakistan,Zimbabwe,Karachi,Pakistan,Pakistan,24,Dec,1993,2
ODI # 868,Pakistan,Zimbabwe,Rawalpindi,Pakistan,Pakistan,25,Dec,1993,2
ODI # 869,Pakistan,Zimbabwe,Lahore,Pakistan,Pakistan,27,Dec,1993,1
ODI # 870,New Zealand,South Africa,Brisbane,New Zealand,Australia,8,Jan,1994,1
ODI # 871,Australia,South Africa,Brisbane,Australia,Australia,9,Jan,1994,1
ODI # 872,Australia,New Zealand,Sydney,New Zealand,Australia,11,Jan,1994,1
ODI # 873,New Zealand,South Africa,Perth,South Africa,Australia,14,Jan,1994,2
ODI # 874,Australia,South Africa,Perth,South Africa,Australia,16,Jan,1994,1
ODI # 875,Australia,New Zealand,Melbourne,Australia,Australia,19,Jan,1994,1
ODI # 876,Australia,South Africa,Melbourne,South Africa,Australia,21,Jan,1994,1
ODI # 877,Australia,South Africa,Sydney,Australia,Australia,23,Jan,1994,1
ODI # 878,Australia,South Africa,Sydney,Australia,Australia,25,Jan,1994,1
ODI # 879,India,Sri Lanka,Rajkot,India,India,15,Feb,1994,1
ODI # 880,West Indies,England,Bridgetown,England,West Indies,16,Feb,1994,1
ODI # 881,India,Sri Lanka,Hyderabad,India,India,18,Feb,1994,2
ODI # 882,South Africa,Australia,Johannesburg,South Africa,South Africa,19,Feb,1994,1
ODI # 883,India,Sri Lanka,Jalandhar,Sri Lanka,India,20,Feb,1994,2
ODI # 884,South Africa,Australia,Centurion,South Africa,South Africa,20,Feb,1994,1
ODI # 885,South Africa,Australia,Port Elizabeth,Australia,South Africa,22,Feb,1994,1
ODI # 886,South Africa,Australia,Durban,South Africa,South Africa,24,Feb,1994,2
ODI # 887,West Indies,England,Kingston,West Indies,West Indies,26,Feb,1994,2
ODI # 888,West Indies,England,Kingstown,West Indies,West Indies,2,Mar,1994,1
ODI # 889,New Zealand,Pakistan,Dunedin,Pakistan,New Zealand,3,Mar,1994,2
ODI # 890,West Indies,England,Port of Spain,West Indies,West Indies,5,Mar,1994,1
ODI # 891,New Zealand,Pakistan,Auckland,Pakistan,New Zealand,6,Mar,1994,1
ODI # 892,West Indies,England,Port of Spain,England,West Indies,6,Mar,1994,2
ODI # 893,New Zealand,Pakistan,Wellington,Pakistan,New Zealand,9,Mar,1994,1
ODI # 895,New Zealand,Pakistan,Christchurch,New Zealand,New Zealand,16,Mar,1994,2
ODI # 896,New Zealand,India,Napier,New Zealand,New Zealand,25,Mar,1994,1
ODI # 897,New Zealand,India,Auckland,India,New Zealand,27,Mar,1994,2
ODI # 898,New Zealand,India,Wellington,India,New Zealand,30,Mar,1994,1
ODI # 899,New Zealand,India,Christchurch,New Zealand,New Zealand,2,Apr,1994,2
ODI # 900,South Africa,Australia,East London,Australia,South Africa,2,Apr,1994,2
ODI # 901,South Africa,Australia,Port Elizabeth,South Africa,South Africa,4,Apr,1994,1
ODI # 902,South Africa,Australia,Cape Town,Australia,South Africa,6,Apr,1994,1
ODI # 903,South Africa,Australia,Bloemfontein,Australia,South Africa,8,Apr,1994,1
ODI # 904,U.A.E.,India,Sharjah,India,U.A.E.,13,Apr,1994,1
ODI # 905,Australia,Sri Lanka,Sharjah,Australia,U.A.E.,14,Apr,1994,2
ODI # 906,India,Pakistan,Sharjah,Pakistan,U.A.E.,15,Apr,1994,2
ODI # 907,Australia,New Zealand,Sharjah,Australia,U.A.E.,16,Apr,1994,2
ODI # 908,U.A.E.,Pakistan,Sharjah,Pakistan,U.A.E.,17,Apr,1994,2
ODI # 909,New Zealand,Sri Lanka,Sharjah,New Zealand,U.A.E.,18,Apr,1994,1
ODI # 910,Australia,India,Sharjah,India,U.A.E.,19,Apr,1994,2
ODI # 911,New Zealand,Pakistan,Sharjah,Pakistan,U.A.E.,20,Apr,1994,1
ODI # 912,India,Pakistan,Sharjah,Pakistan,U.A.E.,22,Apr,1994,1
ODI # 913,England,New Zealand,Birmingham,England,England,19,May,1994,1
ODI # 914,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,3,Aug,1994,2
ODI # 915,Sri Lanka,Pakistan,Colombo,Sri Lanka,Sri Lanka,6,Aug,1994,2
ODI # 916,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,7,Aug,1994,1
ODI # 917,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,22,Aug,1994,2
ODI # 918,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,24,Aug,1994,1
ODI # 919,England,South Africa,Birmingham,England,England,25,Aug,1994,2
ODI # 920,England,South Africa,Manchester,England,England,27-28,Aug,1994,2
ODI # 922,Sri Lanka,India,Colombo,Sri Lanka,Sri Lanka,5,Sep,1994,2
ODI # 923,Australia,Pakistan,Colombo,Australia,Sri Lanka,7,Sep,1994,1
ODI # 924,Australia,India,Colombo,India,Sri Lanka,9,Sep,1994,1
ODI # 925,Sri Lanka,Pakistan,Colombo,Sri Lanka,Sri Lanka,11,Sep,1994,2
ODI # 926,Sri Lanka,Australia,Colombo,Sri Lanka,Sri Lanka,13,Sep,1994,2
ODI # 927,Sri Lanka,India,Colombo,India,Sri Lanka,17,Sep,1994,2
ODI # 928,Australia,South Africa,Lahore,Australia,Pakistan,12,Oct,1994,1
ODI # 929,Pakistan,Australia,Multan,Australia,Pakistan,14,Oct,1994,2
ODI # 930,Pakistan,South Africa,Karachi,Pakistan,Pakistan,16,Oct,1994,2
ODI # 931,India,West Indies,Faridabad,West Indies,India,17,Oct,1994,1
ODI # 932,Australia,South Africa,Faisalabad,Australia,Pakistan,18,Oct,1994,1
ODI # 933,India,West Indies,Mumbai,India,India,20,Oct,1994,1
ODI # 934,Pakistan,South Africa,Rawalpindi,Pakistan,Pakistan,20,Oct,1994,1
ODI # 935,Pakistan,Australia,Rawalpindi,Pakistan,Pakistan,22,Oct,1994,2
ODI # 936,India,West Indies,Chennai,India,India,23,Oct,1994,2
ODI # 937,Australia,South Africa,Peshawar,Australia,Pakistan,24,Oct,1994,2
ODI # 939,India,New Zealand,Vadodara,India,India,28,Oct,1994,2
ODI # 940,Pakistan,South Africa,Faisalabad,Pakistan,Pakistan,28,Oct,1994,2
ODI # 941,India,West Indies,Kanpur,West Indies,India,30,Oct,1994,1
ODI # 942,Pakistan,Australia,Lahore,Australia,Pakistan,30,Oct,1994,1
ODI # 943,New Zealand,West Indies,Guwahati,West Indies,India,1,Nov,1994,1
ODI # 944,India,New Zealand,Delhi,India,India,3,Nov,1994,1
ODI # 945,Zimbabwe,Sri Lanka,Harare,Sri Lanka,Zimbabwe,3,Nov,1994,1
ODI # 946,Zimbabwe,Sri Lanka,Harare,Zimbabwe,Zimbabwe,5,Nov,1994,1
ODI # 947,India,West Indies,Kolkata,India,India,5,Nov,1994,1
ODI # 948,Zimbabwe,Sri Lanka,Harare,Sri Lanka,Zimbabwe,6,Nov,1994,1
ODI # 949,India,West Indies,Visakhapatnam,India,India,7,Nov,1994,1
ODI # 950,India,West Indies,Cuttack,India,India,9,Nov,1994,2
ODI # 951,India,West Indies,Jaipur,India,India,11,Nov,1994,1
ODI # 952,Australia,Zimbabwe,Perth,Australia,Australia,2,Dec,1994,2
ODI # 953,Pakistan,Sri Lanka,Durban,Pakistan,South Africa,2,Dec,1994,2
ODI # 954,Pakistan,Sri Lanka,Centurion,Pakistan,South Africa,4,Dec,1994,1
ODI # 955,Australia,England,Sydney,Australia,Australia,6,Dec,1994,1
ODI # 956,South Africa,New Zealand,Cape Town,South Africa,South Africa,6,Dec,1994,1
ODI # 957,Australia,Zimbabwe,Hobart,Australia,Australia,8,Dec,1994,1
ODI # 959,South Africa,Pakistan,Johannesburg,South Africa,South Africa,10,Dec,1994,2
ODI # 960,South Africa,New Zealand,Centurion,South Africa,South Africa,11,Dec,1994,1
ODI # 961,New Zealand,Pakistan,Port Elizabeth,Pakistan,South Africa,13,Dec,1994,2
ODI # 962,England,Zimbabwe,Sydney,Zimbabwe,Australia,15,Dec,1994,1
ODI # 963,South Africa,Sri Lanka,Bloemfontein,Sri Lanka,South Africa,15,Dec,1994,1
ODI # 964,South Africa,Pakistan,Durban,Pakistan,South Africa,17,Dec,1994,2
ODI # 965,New Zealand,Sri Lanka,East London,Sri Lanka,South Africa,18,Dec,1994,2
ODI # 966,New Zealand,Pakistan,East London,Pakistan,South Africa,19,Dec,1994,2
ODI # 967,South Africa,Sri Lanka,Port Elizabeth,South Africa,South Africa,21,Dec,1994,1
ODI # 968,England,Zimbabwe,Brisbane,England,Australia,7,Jan,1995,1
ODI # 969,Australia,England,Melbourne,England,Australia,10,Jan,1995,1
ODI # 970,South Africa,Pakistan,Cape Town,South Africa,South Africa,10,Jan,1995,1
ODI # 971,South Africa,Pakistan,Johannesburg,South Africa,South Africa,12,Jan,1995,1
ODI # 972,New Zealand,West Indies,Auckland,West Indies,New Zealand,22,Jan,1995,1
ODI # 973,New Zealand,West Indies,Wellington,West Indies,New Zealand,25,Jan,1995,1
ODI # 974,New Zealand,West Indies,Christchurch,West Indies,New Zealand,28,Jan,1995,2
ODI # 975,Australia,South Africa,Wellington,Australia,New Zealand,15,Feb,1995,2
ODI # 976,New Zealand,India,Napier,New Zealand,New Zealand,16,Feb,1995,2
ODI # 977,India,South Africa,Hamilton,South Africa,New Zealand,18,Feb,1995,1
ODI # 978,New Zealand,Australia,Auckland,Australia,New Zealand,19,Feb,1995,1
ODI # 979,Australia,India,Dunedin,India,New Zealand,22,Feb,1995,2
ODI # 981,New Zealand,South Africa,Christchurch,New Zealand,New Zealand,23-24,Feb,1995,1
ODI # 982,Zimbabwe,Pakistan,Harare,Pakistan,Zimbabwe,25,Feb,1995,2
ODI # 983,New Zealand,Australia,Auckland,Australia,New Zealand,26,Feb,1995,2
ODI # 984,Zimbabwe,Pakistan,Harare,Zimbabwe,Zimbabwe,26,Feb,1995,1
ODI # 985,West Indies,Australia,Bridgetown,West Indies,West Indies,8,Mar,1995,1
ODI # 986,West Indies,Australia,Port of Spain,Australia,West Indies,11,Mar,1995,1
ODI # 987,West Indies,Australia,Port of Spain,West Indies,West Indies,12,Mar,1995,1
ODI # 988,West Indies,Australia,Kingstown,West Indies,West Indies,15,Mar,1995,2
ODI # 989,West Indies,Australia,Georgetown,West Indies,West Indies,18,Mar,1995,2
ODI # 990,New Zealand,Sri Lanka,Christchurch,New Zealand,New Zealand,26,Mar,1995,1
ODI # 991,New Zealand,Sri Lanka,Hamilton,New Zealand,New Zealand,29,Mar,1995,1
ODI # 992,New Zealand,Sri Lanka,Auckland,Sri Lanka,New Zealand,1,Apr,1995,1
ODI # 993,Bangladesh,India,Sharjah,India,U.A.E.,5,Apr,1995,2
ODI # 994,Bangladesh,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,6,Apr,1995,1
ODI # 995,India,Pakistan,Sharjah,Pakistan,U.A.E.,7,Apr,1995,1
ODI # 996,Bangladesh,Pakistan,Sharjah,Pakistan,U.A.E.,8,Apr,1995,2
ODI # 997,India,Sri Lanka,Sharjah,India,U.A.E.,9,Apr,1995,2
ODI # 998,Pakistan,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,11,Apr,1995,2
ODI # 999,India,Sri Lanka,Sharjah,India,U.A.E.,14,Apr,1995,2
ODI # 1000,England,West Indies,Nottingham,West Indies,England,24-25,May,1995,2
ODI # 1001,England,West Indies,The Oval,England,England,26,May,1995,1
ODI # 1002,England,West Indies,Lord's,England,England,28,May,1995,1
ODI # 1003,Pakistan,Sri Lanka,Gujranwala,Pakistan,Pakistan,29,Sep,1995,2
ODI # 1004,Pakistan,Sri Lanka,Faisalabad,Sri Lanka,Pakistan,1,Oct,1995,1
ODI # 1005,Pakistan,Sri Lanka,Rawalpindi,Sri Lanka,Pakistan,3,Oct,1995,2
ODI # 1006,Sri Lanka,West Indies,Sharjah,Sri Lanka,U.A.E.,11,Oct,1995,1
ODI # 1007,Pakistan,Sri Lanka,Sharjah,Pakistan,U.A.E.,12,Oct,1995,1
ODI # 1008,Pakistan,West Indies,Sharjah,Pakistan,U.A.E.,13,Oct,1995,1
ODI # 1009,Pakistan,West Indies,Sharjah,West Indies,U.A.E.,15,Oct,1995,2
ODI # 1010,Sri Lanka,West Indies,Sharjah,West Indies,U.A.E.,16,Oct,1995,1
ODI # 1011,Pakistan,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,17,Oct,1995,2
ODI # 1012,Sri Lanka,West Indies,Sharjah,Sri Lanka,U.A.E.,20,Oct,1995,1
ODI # 1013,Zimbabwe,South Africa,Harare,South Africa,Zimbabwe,21,Oct,1995,1
ODI # 1014,Zimbabwe,South Africa,Harare,South Africa,Zimbabwe,22,Oct,1995,1
ODI # 1015,India,New Zealand,Jamshedpur,New Zealand,India,15,Nov,1995,2
ODI # 1016,India,New Zealand,Amritsar,India,India,18,Nov,1995,2
ODI # 1017,India,New Zealand,Pune,India,India,24,Nov,1995,2
ODI # 1018,India,New Zealand,Nagpur,New Zealand,India,26,Nov,1995,1
ODI # 1019,India,New Zealand,Mumbai,India,India,29,Nov,1995,2
ODI # 1020,New Zealand,Pakistan,Dunedin,Pakistan,New Zealand,15,Dec,1995,1
ODI # 1021,Sri Lanka,West Indies,Adelaide,Sri Lanka,Australia,15,Dec,1995,2
ODI # 1022,New Zealand,Pakistan,Christchurch,New Zealand,New Zealand,17,Dec,1995,2
ODI # 1023,Australia,West Indies,Adelaide,Australia,Australia,17,Dec,1995,1
ODI # 1024,Australia,West Indies,Melbourne,Australia,Australia,19,Dec,1995,1
ODI # 1025,New Zealand,Pakistan,Wellington,Pakistan,New Zealand,20,Dec,1995,1
ODI # 1026,Australia,Sri Lanka,Sydney,Australia,Australia,21,Dec,1995,2
ODI # 1027,New Zealand,Pakistan,Auckland,New Zealand,New Zealand,23,Dec,1995,1
ODI # 1028,Australia,West Indies,Sydney,Australia,Australia,1,Jan,1996,2
ODI # 1029,Sri Lanka,West Indies,Hobart,West Indies,Australia,3,Jan,1996,1
ODI # 1030,Sri Lanka,West Indies,Brisbane,West Indies,Australia,5,Jan,1996,2
ODI # 1031,Australia,West Indies,Brisbane,West Indies,Australia,7,Jan,1996,1
ODI # 1032,Australia,Sri Lanka,Melbourne,Sri Lanka,Australia,9,Jan,1996,2
ODI # 1033,South Africa,England,Cape Town,South Africa,South Africa,9,Jan,1996,1
ODI # 1034,South Africa,England,Bloemfontein,England,South Africa,11,Jan,1996,2
ODI # 1035,Australia,Sri Lanka,Perth,Australia,Australia,12,Jan,1996,1
ODI # 1036,South Africa,England,Johannesburg,South Africa,South Africa,13,Jan,1996,2
ODI # 1037,Sri Lanka,West Indies,Perth,Sri Lanka,Australia,14,Jan,1996,1
ODI # 1038,South Africa,England,Centurion,South Africa,South Africa,14,Jan,1996,2
ODI # 1039,Australia,Sri Lanka,Melbourne,Sri Lanka,Australia,16,Jan,1996,2
ODI # 1040,South Africa,England,Durban,South Africa,South Africa,17,Jan,1996,2
ODI # 1041,Australia,Sri Lanka,Melbourne,Australia,Australia,18,Jan,1996,1
ODI # 1042,South Africa,England,East London,South Africa,South Africa,19,Jan,1996,1
ODI # 1043,Australia,Sri Lanka,Sydney,Australia,Australia,20,Jan,1996,1
ODI # 1044,South Africa,England,Port Elizabeth,South Africa,South Africa,21,Jan,1996,1
ODI # 1045,New Zealand,Zimbabwe,Auckland,New Zealand,New Zealand,28,Jan,1996,1
ODI # 1046,New Zealand,Zimbabwe,Wellington,New Zealand,New Zealand,31,Jan,1996,2
ODI # 1047,New Zealand,Zimbabwe,Napier,Zimbabwe,New Zealand,3,Feb,1996,1
ODI # 1048,England,New Zealand,Ahmedabad,New Zealand,India,14,Feb,1996,1
ODI # 1049,South Africa,U.A.E.,Rawalpindi,South Africa,Pakistan,16,Feb,1996,1
ODI # 1050,West Indies,Zimbabwe,Hyderabad,West Indies,India,16,Feb,1996,2
ODI # 1051,Netherlands,New Zealand,Vadodara,New Zealand,India,17,Feb,1996,1
ODI # 1052,India,Kenya,Cuttack,India,India,18,Feb,1996,2
ODI # 1053,England,U.A.E.,Peshawar,England,Pakistan,18,Feb,1996,2
ODI # 1054,New Zealand,South Africa,Faisalabad,South Africa,Pakistan,20,Feb,1996,2
ODI # 1055,Sri Lanka,Zimbabwe,Colombo,Sri Lanka,Sri Lanka,21,Feb,1996,2
ODI # 1056,India,West Indies,Gwalior,India,India,21,Feb,1996,2
ODI # 1057,England,Netherlands,Peshawar,England,Pakistan,22,Feb,1996,1
ODI # 1058,Australia,Kenya,Visakhapatnam,Australia,India,23,Feb,1996,1
ODI # 1059,Pakistan,U.A.E.,Gujranwala,Pakistan,Pakistan,24,Feb,1996,2
ODI # 1060,England,South Africa,Rawalpindi,South Africa,Pakistan,25,Feb,1996,1
ODI # 1062,Pakistan,Netherlands,Lahore,Pakistan,Pakistan,26,Feb,1996,2
ODI # 1063,Kenya,Zimbabwe,Patna,Zimbabwe,India,27,Feb,1996,2
ODI # 1064,New Zealand,U.A.E.,Faisalabad,New Zealand,Pakistan,27,Feb,1996,1
ODI # 1065,India,Australia,Mumbai,Australia,India,27,Feb,1996,1
ODI # 1066,Kenya,West Indies,Pune,Kenya,India,29,Feb,1996,1
ODI # 1067,Pakistan,South Africa,Karachi,South Africa,Pakistan,29,Feb,1996,2
ODI # 1068,Australia,Zimbabwe,Nagpur,Australia,India,1,Mar,1996,2
ODI # 1069,Netherlands,U.A.E.,Lahore,U.A.E.,Pakistan,1,Mar,1996,2
ODI # 1070,India,Sri Lanka,Delhi,Sri Lanka,India,2,Mar,1996,2
ODI # 1071,Pakistan,England,Karachi,Pakistan,Pakistan,3,Mar,1996,2
ODI # 1072,Australia,West Indies,Jaipur,West Indies,India,4,Mar,1996,2
ODI # 1073,Netherlands,South Africa,Rawalpindi,South Africa,Pakistan,5,Mar,1996,1
ODI # 1075,India,Zimbabwe,Kanpur,India,India,6,Mar,1996,1
ODI # 1074,Sri Lanka,Kenya,Kandy,Sri Lanka,Sri Lanka,6,Mar,1996,1
ODI # 1076,Pakistan,New Zealand,Lahore,Pakistan,Pakistan,6,Mar,1996,1
ODI # 1077,England,Sri Lanka,Faisalabad,Sri Lanka,Pakistan,9,Mar,1996,2
ODI # 1078,India,Pakistan,Bengaluru,India,India,9,Mar,1996,1
ODI # 1079,South Africa,West Indies,Karachi,West Indies,Pakistan,11,Mar,1996,1
ODI # 1080,Australia,New Zealand,Chennai,Australia,India,11,Mar,1996,2
ODI # 1082,Australia,West Indies,Mohali,Australia,,14,Mar,1996,1
ODI # 1083,Australia,Sri Lanka,Lahore,Sri Lanka,Pakistan,17,Mar,1996,2
ODI # 1084,West Indies,New Zealand,Kingston,West Indies,West Indies,26,Mar,1996,2
ODI # 1085,West Indies,New Zealand,Port of Spain,New Zealand,West Indies,29,Mar,1996,2
ODI # 1086,West Indies,New Zealand,Port of Spain,West Indies,West Indies,30,Mar,1996,2
