Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Nation
JC Tredwell ,2010-2015,45,44,2104,1666,60,4/41,27.76,4.75,35.0,3,0,ENG
ALF de Mel ,1982-1987,57,57,2735,2237,59,5/32,37.91,4.9,46.3,1,2,SL
NA Foster ,1984-1989,48,48,2627,1836,59,3/20,31.11,4.19,44.5,0,0,ENG
Gulbadin Naib ,2011-2019,65,60,2194,1968,59,6/43,33.35,5.38,37.1,2,1,AFG
Hamid Hassan ,2009-2019,38,37,1734,1330,59,5/45,22.54,4.6,29.3,2,1,AFG
JDS Neesham ,2013-2019,59,55,1772,1814,59,5/31,30.74,6.14,30.0,2,1,NZ
Shadab Khan ,2017-2019,43,41,2088,1750,59,4/28,29.66,5.02,35.3,3,0,PAK
Sikandar Raza ,2013-2019,97,71,2846,2269,59,3/21,38.45,4.78,48.2,0,0,ZIM
Tapash Baisya ,2002-2007,56,56,2608,2452,59,4/16,41.55,5.64,44.2,2,0,BDESH
KM Jarvis ,2009-2019,49,49,2362,2088,58,4/17,36.0,5.3,40.7,2,0,ZIM
HK Olonga ,1995-2003,50,49,2059,1977,58,6/19,34.08,5.76,35.5,2,2,ZIM
GC Small ,1987-1992,53,53,2793,1942,58,4/31,33.48,4.17,48.1,1,0,ENG
Mudassar Bukhari ,2007-2014,46,46,2036,1601,57,3/17,28.08,4.71,35.7,0,0,NL
MJ Clarke ,2003-2015,245,106,2585,2146,57,5/35,37.64,4.98,45.3,1,1,AUS
GRJ Matthews ,1984-1993,59,54,2808,2004,57,3/27,35.15,4.28,49.2,0,0,AUS
DS Mohanty ,1997-2001,45,44,1996,1662,57,4/56,29.15,4.99,35.0,1,0,INDIA
T Mupariwa ,2004-2016,40,40,2019,1690,57,4/39,29.64,5.02,35.4,3,0,ZIM
Arshad Khan ,1993-2006,58,56,2823,1948,56,4/33,34.78,4.14,50.4,1,0,PAK
R Telemachus ,1998-2006,37,37,1918,1565,56,4/43,27.94,4.89,34.2,1,0,SA
XJ Doherty ,2010-2015,60,56,2792,2224,55,4/28,40.43,4.77,50.7,3,0,AUS
AF Giles ,1997-2005,62,57,2856,2069,55,5/57,37.61,4.34,51.9,0,1,ENG
Tauseef Ahmed ,1982-1990,70,67,3250,2247,55,4/38,40.85,4.14,59.0,1,0,PAK
RN ten Doeschate ,2006-2011,33,33,1580,1327,55,4/31,24.12,5.03,28.7,3,0,NL
JR Thomson ,1975-1985,50,50,2696,1942,55,4/67,35.3,4.32,49.0,1,0,AUS
JV Coney ,1979-1987,88,70,2931,2039,54,4/46,37.75,4.17,54.2,1,0,NZ
N Pradeep ,2012-2019,42,40,1996,1998,54,4/31,37.0,6.0,36.9,2,0,SL
HH Pandya ,2016-2019,54,53,2368,2195,54,3/31,40.64,5.56,43.8,0,0,INDIA
AR Adams ,2001-2007,42,40,1885,1643,53,5/22,31.0,5.22,35.5,2,1,NZ
SR Clark ,2005-2009,39,38,1829,1477,53,4/54,27.86,4.84,34.5,2,0,AUS
Mohammad Naveed ,2014-2019,39,39,1938,1757,53,5/28,33.15,5.43,36.5,0,1,UAE
LS Pascoe ,1977-1982,29,28,1568,1066,53,5/30,20.11,4.07,29.5,4,1,AUS
SMSM Senanayake ,2012-2015,49,47,2358,1874,53,4/13,35.35,4.76,44.4,1,0,SL
GI Allott ,1997-2000,31,31,1528,1207,52,4/35,23.21,4.73,29.3,4,0,NZ
NM Coulter-Nile ,2013-2019,32,32,1678,1555,52,4/48,29.9,5.56,32.2,1,0,AUS
KSC de Silva ,1996-2000,38,37,1619,1323,52,3/18,25.44,4.9,31.1,0,0,SL
DS Lehmann ,1996-2005,117,62,1793,1445,52,4/7,27.78,4.83,34.4,1,0,AUS
TM Moody ,1987-1999,76,66,2797,2014,52,3/25,38.73,4.32,53.7,0,0,AUS
KA Pollard ,2007-2019,107,74,2116,2025,52,3/27,38.94,5.74,40.6,0,0,WI
DJ Willey ,2015-2019,46,45,1971,1889,52,4/34,36.32,5.75,37.9,2,0,ENG
A Dananjaya ,2012-2019,36,34,1773,1506,51,6/29,29.52,5.09,34.7,2,2,SL
VC Drakes ,1995-2004,34,34,1640,1293,51,5/33,25.35,4.73,32.1,3,2,WI
BJ McCarthy ,2016-2019,27,27,1389,1360,51,5/46,26.66,5.87,27.2,2,1,IRE
AM Blignaut ,1999-2010,54,53,2348,2063,50,4/43,41.26,5.27,46.9,2,0,ZIM
GJ Maxwell ,2012-2019,110,86,2698,2525,50,4/46,50.5,5.61,53.9,2,0,AUS
JA Morkel ,2004-2012,58,52,2073,1899,50,4/29,37.98,5.49,41.4,2,0,AfrSA
PM Seelaar ,2006-2019,41,41,1901,1476,50,4/15,29.52,4.65,38.0,1,0,NL
T Thushara ,2008-2010,38,38,1676,1393,50,5/47,27.86,4.98,33.5,0,1,SL
JH Davey ,2010-2019,31,29,1301,1082,49,6/28,22.08,4.99,26.5,1,2,SCOT
CD McMillan ,1997-2007,197,74,1879,1717,49,3/20,35.04,5.48,38.3,0,0,NZ
AR Nurse ,2016-2019,54,49,2384,2125,49,4/51,43.36,5.34,48.6,2,0,WI
JS Patel ,2005-2017,43,42,2014,1691,49,3/11,34.51,5.03,41.1,0,0,NZ
GR Dilley ,1979-1988,36,36,2043,1291,48,4/23,26.89,3.79,42.5,3,0,ENG
JK Kamande ,1999-2011,86,71,2619,2169,48,4/36,45.18,4.96,54.5,1,0,KENYA
S Lee ,1995-2001,45,43,1706,1245,48,5/33,25.93,4.37,35.5,1,1,AUS
JF Mooney ,2006-2015,64,50,1797,1635,48,4/27,34.06,5.45,37.4,2,0,IRE
CH Morris ,2013-2019,42,40,1894,1756,48,4/31,36.58,5.56,39.4,2,0,SA
ARC Fraser ,1989-1999,42,42,2392,1412,47,4/22,30.04,3.54,50.8,1,0,ENG
Shahadat Hossain ,2006-2013,51,50,2198,2143,47,3/34,45.59,5.84,46.7,0,0,BDESH
M Amarnath ,1975-1989,85,64,2730,1971,46,3/12,42.84,4.33,59.3,0,0,INDIA
PW Borren ,2006-2014,58,51,1979,1620,46,4/32,35.21,4.91,43.0,1,0,NL
N Chopra ,1998-2000,39,37,1835,1286,46,5/21,27.95,4.2,39.8,1,1,INDIA
AC Evans ,2009-2019,36,35,1678,1499,46,4/41,32.58,5.35,36.4,2,0,SCOT
NAM McLean ,1996-2003,45,45,2120,1729,46,3/21,37.58,4.89,46.0,0,0,WI
Mirwais Ashraf ,2009-2016,46,45,2009,1360,46,4/35,29.56,4.06,43.6,1,0,AFG
Mohammad Asif ,2005-2010,38,36,1941,1524,46,3/28,33.13,4.71,42.1,0,0,PAK
SB O'Connor ,1997-2000,38,38,1487,1396,46,5/39,30.34,5.63,32.3,1,2,NZ
Samiullah Shinwari ,2009-2019,84,65,2111,1729,46,4/31,37.58,4.91,45.8,1,0,AFG
BC Strang ,1995-2001,49,48,2494,1718,46,6/20,37.34,4.13,54.2,1,1,ZIM
MR Whitney ,1983-1993,38,38,2106,1249,46,4/34,27.15,3.55,45.7,2,0,AUS
RDB Croft ,1996-2001,50,49,2466,1743,45,3/51,38.73,4.24,54.8,0,0,ENG
GF Labrooy ,1986-1992,44,44,2308,1876,45,5/57,41.68,4.87,51.2,1,1,SL
NO Miller ,2008-2018,50,46,2125,1660,45,4/43,36.88,4.68,47.2,2,0,WI
CM Old ,1973-1981,32,31,1755,999,45,4/8,22.2,3.41,39.0,2,0,ENG
H Osinde ,2006-2013,42,41,1692,1389,45,4/26,30.86,4.92,37.6,2,0,CAN
AR Patel ,2014-2017,38,35,1908,1409,45,3/34,31.31,4.43,42.4,0,0,INDIA
DN Patel ,1987-1997,75,69,3251,2261,45,3/22,50.24,4.17,72.2,0,0,NZ
EC Rainsford ,2004-2010,39,39,1907,1401,45,5/36,31.13,4.4,42.3,1,1,ZIM
Taskin Ahmed ,2014-2017,32,31,1413,1401,45,5/28,31.13,5.94,31.4,2,1,BDESH
AR Whittall ,1996-2000,63,62,3085,2251,45,3/23,50.02,4.37,68.5,0,0,ZIM
HS Baidwan ,2008-2014,32,32,1551,1348,44,3/19,30.63,5.21,35.2,0,0,CAN
SP Davis ,1986-1988,39,39,2016,1133,44,3/10,25.75,3.37,45.8,0,0,AUS
S Elworthy ,1998-2002,39,37,1702,1235,44,3/17,28.06,4.35,38.6,0,0,SA
AH Gray ,1985-1991,25,24,1270,835,44,6/50,18.97,3.94,28.8,2,1,WI
RJ Harris ,2009-2012,21,20,1031,832,44,5/19,18.9,4.84,23.4,0,3,AUS
VJ Marks ,1980-1988,34,32,1838,1135,44,5/20,25.79,3.7,41.7,0,2,ENG
MR Marsh ,2011-2018,53,50,1700,1564,44,5/33,35.54,5.52,38.6,1,1,AUS
Nazmul Hossain ,2004-2012,38,37,1649,1386,44,4/40,31.5,5.04,37.4,1,0,BDESH
DR Pringle ,1982-1993,44,44,2379,1677,44,4/42,38.11,4.22,54.0,1,0,ENG
RP Snell ,1991-1996,42,42,2095,1574,44,5/40,35.77,4.5,47.6,2,1,SA
DP Viljoen ,1997-2001,53,46,2075,1639,44,3/20,37.25,4.73,47.1,0,0,ZIM
JC Adams ,1992-2001,127,56,1856,1499,43,5/37,34.86,4.84,43.1,0,1,WI
CR Brathwaite ,2011-2019,44,40,1825,1766,43,5/27,41.06,5.8,42.4,2,1,WI
CJ Jordan ,2013-2016,31,31,1532,1521,43,5/29,35.37,5.95,35.6,0,1,ENG
Shapoor Zadran ,2009-2019,44,44,1983,1589,43,4/24,36.95,4.8,46.1,2,0,AFG
PR Stirling ,2008-2019,114,73,2392,1902,43,6/55,44.23,4.77,55.6,1,1,IRE
MA Suji ,1996-2006,64,64,2952,2190,43,4/24,50.93,4.45,68.6,1,0,KENYA
KLT Arthurton ,1988-1999,105,44,1384,1159,42,4/31,27.59,5.02,32.9,3,0,WI
AC Botha ,2006-2011,42,33,1560,1134,42,4/19,27.0,4.36,37.1,2,0,IRE
JW Hastings ,2010-2017,29,29,1486,1256,42,6/45,29.9,5.07,35.3,1,1,AUS
Imad Wasim ,2015-2019,53,51,2313,1865,42,5/14,44.4,4.83,55.0,0,1,PAK
AR McBrine ,2014-2019,42,40,2045,1489,42,3/38,35.45,4.36,48.6,0,0,IRE
SA Thomson ,1990-1996,56,51,2121,1602,42,3/14,38.14,4.53,50.5,0,0,NZ
Aftab Alam ,2010-2019,27,27,1257,1033,41,4/25,25.19,4.93,30.6,1,0,AFG
JAR Blain ,1999-2009,33,32,1329,1173,41,5/22,28.6,5.29,32.4,1,1,SCOT
DG Cork ,1992-2002,32,32,1772,1368,41,3/27,33.36,4.63,43.2,0,0,ENG
CE Cuffy ,1994-2002,41,41,2153,1436,41,4/24,35.02,4.0,52.5,1,0,WI
S Dhaniram ,2006-2010,44,41,1769,1240,41,5/32,30.24,4.2,43.1,1,1,CAN
SM Ervine ,2001-2004,42,40,1649,1561,41,3/29,38.07,5.67,40.2,0,0,ZIM
HA Gomes ,1978-1987,83,36,1345,1045,41,4/31,25.48,4.66,32.8,2,0,WI
AF Milne ,2012-2017,40,39,1801,1581,41,3/49,38.56,5.26,43.9,0,0,NZ
L Ngidi ,2018-2019,22,22,1026,947,41,4/51,23.09,5.53,25.0,2,0,SA
VD Philander ,2007-2015,30,28,1279,986,41,4/12,24.04,4.62,31.1,2,0,SA
Amir Hamza ,2012-2017,31,31,1552,1016,40,4/17,25.4,3.92,38.8,1,0,AFG
RP Arnold ,1997-2007,180,84,2157,1739,40,3/47,43.47,4.83,53.9,0,0,SL
RS Bopara ,2007-2015,120,74,1860,1523,40,4/38,38.07,4.91,46.5,1,0,ENG
Saleem Jaffar ,1986-1990,39,39,1900,1382,40,3/25,34.55,4.36,47.5,0,0,PAK
SJ Benn ,2008-2016,47,46,2387,1913,39,4/18,49.05,4.8,61.2,3,0,WI
PT Collins ,1999-2005,30,30,1577,1212,39,5/43,31.07,4.61,40.4,0,1,WI
SS Cottrell ,2015-2019,30,28,1314,1293,39,5/46,33.15,5.9,33.6,1,1,WI
WW Davis ,1983-1988,35,35,1923,1302,39,7/51,33.38,4.06,49.3,0,1,NZ
GD Elliott ,2008-2016,83,56,1302,1179,39,4/31,30.23,5.43,33.3,1,0,IRE
WK McCallan ,2006-2009,39,35,1804,1208,39,4/30,30.97,4.01,46.2,2,0,ZIM
H Masakadza ,2001-2019,209,85,1844,1636,39,3/39,41.94,5.32,47.2,0,0,AUS
TBA May ,1987-1995,47,46,2504,1772,39,3/19,45.43,4.24,64.2,0,0,KENYA
MO Odumbe ,1996-2003,61,52,2237,1807,39,4/38,46.33,4.84,57.3,1,0,NZ
IS Sodhi ,2015-2019,31,30,1548,1430,39,4/58,36.66,5.54,39.6,1,0,PAK
Akram Raza ,1989-1995,49,48,2601,1611,38,3/18,42.39,3.71,68.4,0,0,WI
D Bishoo ,2011-2019,42,40,2022,1668,38,3/30,43.89,4.94,53.2,0,0,AUS
MG Hughes ,1988-1993,33,33,1639,1115,38,4/44,29.34,4.08,43.1,1,0,ZIM
AJ Ireland ,2005-2007,26,26,1326,1115,38,3/41,29.34,5.04,34.8,0,0,HKG
Nadeem Ahmed ,2004-2018,25,25,1327,932,38,4/26,24.52,4.21,34.9,4,0,UAE
Rohan Mustafa ,2014-2019,34,33,1583,1245,38,5/25,32.76,4.71,41.6,1,1,INDIA
R Vinay Kumar ,2010-2013,31,31,1436,1423,38,4/30,37.44,5.94,37.7,1,0,ZIM
TJ Friend ,2000-2004,51,45,1930,1779,37,4/55,48.08,5.53,52.1,1,0,NZ
MR Gillespie ,2006-2009,32,31,1521,1369,37,4/58,37.0,5.4,41.1,1,0,ENG
EE Hemmings ,1982-1991,33,32,1752,1294,37,4/52,34.97,4.43,47.3,1,0,INDIA
M Kartik ,2002-2007,37,36,1907,1612,37,6/27,43.56,5.07,51.5,0,1,BDESH
Mehidy Hasan Miraz ,2017-2019,38,37,1957,1520,37,4/29,41.08,4.66,52.8,1,0,NZ
KS Williamson ,2010-2019,149,65,1467,1310,37,4/22,35.4,5.35,39.6,1,0,SL
HMCM Bandara ,2006-2010,31,28,1470,1232,36,4/31,34.22,5.02,40.8,2,0,WI
EAE Baptiste ,1983-1990,43,43,2214,1511,36,2/10,41.97,4.09,61.5,0,0,AUS
MG Bevan ,1994-2004,232,67,1966,1655,36,3/36,45.97,5.05,54.6,0,0,CAN
JM Davison ,2003-2011,32,31,1435,1067,36,3/15,29.63,4.46,39.8,0,0,AUS
AIC Dodemaide ,1988-1993,24,24,1327,753,36,5/21,20.91,3.4,36.8,1,1,NZ
SB Doull ,1992-2000,42,42,1745,1459,36,4/25,40.52,5.01,48.4,1,0,ENG
GA Gooch ,1976-1995,125,60,2066,1516,36,3/19,42.11,4.4,57.3,0,0,SL
S Randiv ,2009-2016,31,29,1437,1214,36,5/42,33.72,5.06,39.9,0,1,CAN
Khurram Chohan ,2009-2014,25,24,1186,1029,36,5/68,28.58,5.2,32.9,3,1,INDIA
SK Raina ,2005-2018,226,101,2126,1811,36,3/34,50.3,5.11,59.0,0,0,SCOT
I Wardlaw ,2013-2015,22,21,1108,1036,36,4/22,28.77,5.61,30.7,2,0,ZIM
CJ Chibhabha ,2005-2018,103,58,1667,1615,35,4/25,46.14,5.81,47.6,1,0,ENG
M Hendrick ,1973-1981,22,22,1248,681,35,5/31,19.45,3.27,35.6,2,1,ZIM
NC Johnson ,1998-2000,48,39,1503,1220,35,4/42,34.85,4.87,42.9,1,0,BDESH
Naeem Islam ,2008-2014,59,48,1743,1407,35,3/32,40.2,4.84,49.8,0,0,KENYA
CO Obuya ,2001-2014,104,49,1818,1637,35,5/24,46.77,5.4,51.9,0,1,SCOT
MRJ Watt ,2016-2019,27,27,1443,1033,35,4/42,29.51,4.29,41.2,1,0,AUS
BA Williams ,2002-2004,25,24,1203,814,35,5/22,23.25,4.05,34.3,1,2,SA
KJ Abbott ,2013-2016,28,27,1303,1051,34,4/21,30.91,4.83,38.3,2,0,INDIA
L Balaji ,2002-2009,30,30,1447,1344,34,4/48,39.52,5.57,42.5,1,0,WI
TL Best ,2004-2014,26,26,1300,1157,34,4/35,34.02,5.34,38.2,2,0,IRE
PKD Chase ,2015-2018,25,24,1238,1356,34,3/33,39.88,6.57,36.4,0,0,SL
VB John ,1982-1987,45,45,2311,1655,34,3/28,48.67,4.29,67.9,0,0,INDIA
RDM Leverock ,2006-2009,32,32,1684,1123,34,5/53,33.02,4.0,49.5,0,1,ZIM
RR Powar ,2004-2007,31,29,1536,1191,34,3/24,35.02,4.65,45.1,0,0,AUS
JA Rennie ,1993-2000,44,43,1965,1564,34,3/27,46.0,4.77,57.7,0,0,PAK
KW Richardson ,2013-2019,22,22,1143,1061,34,5/68,31.2,5.56,33.6,0,1,PNG
Tahir Naqqash ,1980-1985,40,37,1596,1240,34,3/23,36.47,4.66,46.9,0,0,WI
N Vanua ,2014-2019,23,23,1060,900,34,4/24,26.47,5.09,31.1,4,0,NZ
KCG Benjamin ,1992-1996,26,26,1319,923,33,3/34,27.96,4.19,39.9,0,0,WI
U Bhatti ,2006-2010,36,35,1630,1149,33,4/45,34.81,4.22,49.3,1,0,INDIA
JG Bracewell ,1983-1990,53,50,2447,1884,33,2/3,57.09,4.61,74.1,0,0,NL
ST Gabriel ,2016-2019,25,25,1148,1134,33,3/17,34.36,5.92,34.7,0,0,PAK
YK Pathan ,2008-2012,57,50,1490,1365,33,3/49,41.36,5.49,45.1,0,0,PAK
E Schiferli ,2002-2013,30,30,1294,1008,33,4/23,30.54,4.67,39.2,3,0,SA
Shabbir Ahmed ,1999-2005,32,32,1642,1192,33,3/32,36.12,4.35,49.7,0,0,AUS
Sikander Bakht ,1977-1989,27,27,1277,860,33,4/34,26.06,4.04,38.6,1,0,SL
EO Simons ,1994-1995,23,23,1212,810,33,4/42,24.54,4.0,36.7,1,0,SCOT
MP Stoinis ,2015-2019,41,39,1414,1446,33,3/16,43.81,6.13,42.8,0,0,INDIA
SD Anurasiri ,1986-1994,45,43,2100,1464,32,3/40,45.75,4.18,65.6,0,0,AUS
RD Berrington ,2008-2019,78,51,1394,1228,32,4/40,38.37,5.28,43.5,1,0,SL
PP Chawla ,2007-2011,25,25,1312,1117,32,4/23,34.9,5.1,41.0,2,0,ENG
AC Dale ,1997-2000,30,30,1596,979,32,3/18,30.59,3.68,49.8,0,0,ENG
DS de Silva ,1975-1985,41,40,2076,1557,32,3/29,48.65,4.5,64.8,0,0,UAE
MJ Hoggard ,2001-2006,26,26,1306,1152,32,5/49,36.0,5.29,40.8,0,1,AfrSA
AJ Hollioake ,1996-1999,35,32,1208,1019,32,4/23,31.84,5.06,37.7,2,0,SL
Imran Haider ,2017-2019,20,20,943,841,32,4/25,26.28,5.35,29.4,2,0,SL
JM Kemp ,2001-2007,85,48,1303,1015,32,3/20,31.71,4.67,40.7,0,0,CAN
KTGD Prasad ,2006-2015,24,24,1015,976,32,3/17,30.5,5.76,31.7,0,0,NZ
S Prasanna ,2011-2019,40,39,1945,1767,32,3/32,55.21,5.45,60.7,0,0,ENG
Rizwan Cheema ,2008-2013,33,32,1330,1095,32,3/25,34.21,4.93,41.5,0,0,ZIM
GB Troup ,1976-1985,22,22,1180,791,32,4/19,24.71,4.02,36.8,3,0,INDIA
DL Underwood ,1973-1982,26,24,1278,734,32,4/44,22.93,3.44,39.9,1,0,ENG
BV Vitori ,2011-2018,24,24,1193,1149,32,5/20,35.9,5.77,37.2,0,2,SL
Arshad Ayub ,1987-1990,32,32,1769,1216,31,5/21,39.22,4.12,57.0,0,1,NZ
JW Dernbach ,2011-2013,24,24,1234,1308,31,4/45,42.19,6.35,39.8,1,0,INDIA
KS Lokuarachchi ,2003-2007,21,21,1011,725,31,4/44,23.38,4.3,32.6,1,0,PAK
MJ Mason ,2003-2010,26,25,1179,1024,31,4/24,33.03,5.21,38.0,1,0,ENG
MM Sharma ,2013-2015,26,25,1121,1020,31,4/22,32.9,5.45,36.1,1,0,ENG
Abdur Rehman ,2006-2014,31,31,1624,1142,30,4/48,38.06,4.21,54.1,1,0,ENG
GA Hick ,1991-2001,120,47,1236,1026,30,5/33,34.2,4.98,41.2,0,1,SA
RK Illingworth ,1991-1996,25,25,1501,1059,30,3/33,35.3,4.23,50.0,0,0,INDIA
AS Joseph ,2016-2019,22,21,1033,1107,30,5/56,36.9,6.42,34.4,1,1,NZ
SI Mahmood ,2004-2009,26,25,1197,1169,30,4/50,38.96,5.85,39.9,1,0,NL
DA Marillier ,2000-2003,48,35,1574,1235,30,4/38,41.16,4.7,52.4,1,0,BDESH
PR Adams ,1996-2003,24,23,1109,815,29,3/26,28.1,4.4,38.2,0,0,AUS
RK Chauhan ,1993-1997,35,34,1634,1216,29,3/29,41.93,4.46,56.3,0,0,AUS
MD Crowe ,1982-1995,143,46,1296,954,29,2/9,32.89,4.41,44.6,0,0,PAK
TBM de Leede ,1996-2007,29,29,1139,999,29,4/35,34.44,5.26,39.2,1,0,ZIM
Hasibul Hossain ,1995-2004,32,32,1375,1338,29,4/56,46.13,5.83,47.4,1,0,WI
BW Hilfenhaus ,2007-2012,25,25,1216,1075,29,5/33,37.06,5.3,41.9,0,1,ENG
NM Lyon ,2012-2019,29,29,1626,1334,29,4/44,46.0,4.92,56.0,1,0,SCOT
Manzoor Elahi ,1984-1995,54,49,1743,1262,29,3/22,43.51,4.34,60.1,0,0,UAE
BA Murphy ,2000-2003,31,29,1422,1130,29,3/43,38.96,4.76,49.0,0,0,NZ
D Pretorius ,2016-2019,22,22,1022,813,29,3/5,28.03,4.77,35.2,0,0,WI
FA Rose ,1997-2000,27,27,1326,1046,29,5/23,36.06,4.73,45.7,0,1,SL
RJ Sidebottom ,2001-2010,25,25,1277,1039,29,3/19,35.82,4.88,44.0,0,0,AUS
CM Wright ,2006-2009,20,19,861,663,29,4/29,22.86,4.62,29.6,1,0,ZIM
Ahmed Raza ,2014-2019,28,28,1505,1011,28,4/37,36.1,4.03,53.7,1,0,PAK
IG Butler ,2002-2010,26,25,1109,1038,28,4/44,37.07,5.61,39.6,1,0,SL
WW Hinds ,1999-2010,119,34,945,837,28,3/24,29.89,5.31,33.7,0,0,INDIA
BMAJ Mendis ,2010-2019,58,49,1404,1204,28,3/15,43.0,5.14,50.1,0,0,KENYA
SPD Smith ,2010-2019,118,39,1070,963,28,3/16,34.39,5.4,38.2,0,0,ENG
DT Tiripano ,2014-2019,31,29,1220,1122,28,5/63,40.07,5.51,43.5,0,1,SL
Ata-ur-Rehman ,1992-1996,30,30,1492,1186,27,3/27,43.92,4.76,55.2,0,0,PNG
PW Gunaratne ,2002-2003,23,23,959,908,27,4/44,33.62,5.68,35.5,1,0,KENYA
KM Jadhav ,2014-2019,71,42,1187,1020,27,3/23,37.77,5.15,43.9,0,0,SA
AY Karim ,1996-2003,34,33,1568,1114,27,5/33,41.25,4.26,58.0,0,1,SA
PJ Martin ,1995-1998,20,20,1048,806,27,4/44,29.85,4.61,38.8,1,0,ZIM
RAP Nissanka ,2001-2003,23,23,997,857,27,4/12,31.74,5.15,36.9,1,0,INDIA
A Vala ,2014-2019,27,26,1038,648,27,3/20,24.0,3.74,38.4,0,0,IRE
PH Edmonds ,1977-1987,29,27,1534,965,26,3/39,37.11,3.77,59.0,0,0,PNG
AP Gurusinha ,1985-1996,147,55,1585,1354,26,2/25,52.07,5.12,60.9,0,0,INDIA
LN Onyango ,1996-2014,29,28,995,981,26,3/29,37.73,5.91,38.2,0,0,IRE
AM Phangiso ,2013-2016,21,21,1085,829,26,3/40,31.88,4.58,41.7,0,0,SL
DN Crookes ,1994-2000,32,30,1221,1011,25,3/30,40.44,4.96,48.8,0,0,BDESH
GD Drummond ,2007-2013,30,29,1263,932,25,4/41,37.28,4.42,50.5,1,0,ENG
LM Jongwe ,2014-2016,22,22,863,759,25,5/6,30.36,5.27,34.5,0,1,NZ
A Kuruvilla ,1997-1997,25,25,1131,890,25,4/43,35.6,4.72,45.2,1,0,ENG
D Langford-Smith ,2006-2008,22,21,942,797,25,3/32,31.88,5.07,37.6,0,0,ENG
G Miller ,1977-1984,25,24,1268,813,25,3/27,32.52,3.84,50.7,0,0,BDESH
CA Soper ,2016-2019,20,20,900,733,25,6/41,29.32,4.88,36.0,0,1,BDESH
K Srikkanth ,1981-1992,146,33,712,641,25,5/27,25.64,5.4,28.4,0,2,ENG
AR White ,2006-2014,61,35,869,688,25,4/44,27.52,4.75,34.7,1,0,ENG
KIW Wijegunawardene ,1988-1992,26,25,1186,986,25,4/49,39.44,4.98,47.4,1,0,SL
Alok Kapali ,2002-2011,69,49,1452,1255,24,3/49,52.29,5.18,60.5,0,0,PAK
ID Blackwell ,2002-2006,34,26,1230,877,24,3/26,36.54,4.27,51.2,0,0,ZIM
C de Grandhomme ,2012-2019,38,38,1296,1046,24,3/26,43.58,4.84,54.0,0,0,BDESH
RC Irani ,1996-2003,31,30,1283,989,24,5/26,41.2,4.62,53.4,1,1,ENGSCOT
JK Lever ,1976-1982,22,22,1152,713,24,4/29,29.7,3.71,48.0,1,0,SL
Manjural Islam ,1999-2003,34,34,1591,1284,24,3/37,53.5,4.84,66.2,0,0,AUS
Mohammad Saifuddin ,2017-2019,20,20,912,909,24,3/45,37.87,5.98,38.0,0,0,WI
Nasir Hossain ,2011-2018,65,43,1256,988,24,3/26,41.16,4.71,52.3,0,0,ZIM
MS Panesar ,2007-2007,26,26,1308,980,24,3/25,40.83,4.49,54.5,0,0,KENYA
SR Patel ,2008-2013,36,32,1187,1091,24,5/41,45.45,5.51,49.4,0,1,ENG
KR Pushpakumara ,1994-1999,31,31,1430,1181,24,3/25,49.2,4.95,59.5,0,0,INDIA
Yasir Shah ,2011-2019,25,24,1293,1150,24,6/26,47.91,5.33,53.8,1,1,ZIM
NG Cowans ,1983-1985,23,23,1282,913,23,3/44,39.69,4.27,55.7,0,0,PAK
KM Dabengwa ,2005-2010,37,35,1109,936,23,3/15,40.69,5.06,48.2,0,0,ENG
Manjural Islam Rana ,2003-2006,25,23,996,689,23,4/34,29.95,4.15,43.3,2,0,PAK
S Mukuddem ,2006-2007,20,20,960,752,23,4/40,32.69,4.7,41.7,1,0,SL
DR Brown ,1997-2007,25,25,953,919,22,3/37,41.77,5.78,43.3,0,0,BDESH
DM de Silva ,2016-2019,42,35,1028,899,22,3/32,40.86,5.24,46.7,0,0,ENG
Farhad Reza ,2006-2011,34,32,1139,1017,22,5/42,46.22,5.35,51.7,0,1,AUS
DAS Gunaratne ,2016-2019,31,25,834,723,22,3/10,32.86,5.2,37.9,0,0,PAK
BP Julian ,1993-1999,25,25,1146,997,22,3/40,45.31,5.21,52.0,0,0,BDESH
RN Lewis ,1997-2009,28,25,1150,983,22,3/43,44.68,5.12,52.2,0,0,KENYA
ML Nkala ,1998-2006,50,46,1582,1570,22,3/12,71.36,5.95,71.9,0,0,HKG
E Otieno ,2007-2014,26,25,954,927,22,4/33,42.13,5.83,43.3,1,0,ZIM
JE Root ,2013-2019,143,64,1414,1364,22,3/52,62.0,5.78,64.2,0,0,PAK
SK Sharma ,1988-1990,23,22,979,813,22,5/26,36.95,4.98,44.5,0,1,AUS
Sohag Gazi ,2012-2014,20,19,919,722,22,4/29,32.81,4.71,41.7,1,0,SA
DH Brain ,1992-1995,23,23,1091,849,21,3/51,40.42,4.66,51.9,0,0,ZIM
CN Evans ,1992-2002,53,34,964,848,21,3/11,40.38,5.27,45.9,0,0,NL
M Hayward ,1998-2002,21,21,993,858,21,4/31,40.85,5.18,47.2,1,0,ENG
NB Mahwire ,2004-2006,23,21,885,775,21,3/29,36.9,5.25,42.1,0,0,SL
AO Suji ,1996-2008,60,46,1295,1175,21,2/14,55.95,5.44,61.6,0,0,ZIM
Wasim Raja ,1973-1985,54,29,1036,687,21,4/25,32.71,3.97,49.3,1,0,INDIA
